 ,1,76,6,05,0001,05,40,25,4,1410,005,1350,135,9,999,2,2,9,9999,1,0025,1,00,2,2,0,9,00,2,1,9
 ,1,76,6,05,0010,28,40,26,4,1344,005,1340,030,0,127,2,1,9,9999,2,0000,1,98,9,9,0,9,00,2,1,9
 ,1,76,6,05,0001,05,44,20,4,1515,020,1500,090,1,127,2,2,9,9999,2,0000,1,85,2,2,0,9,00,2,1,9
 ,1,76,6,05,1000,18,41,23,4,1500,005,1500,120,0,127,2,2,9,9999,1,0305,1,75,4,2,0,9,00,2,1,9
 ,3,76,6,05,1000,17,40,26,4,1330,008,1230,210,0,066,1,9,9,9999,2,0000,1,99,2,3,1,9,00,2,1,9
 ,1,76,6,05,0001,09,41,02,5,1333,027,1400,073,0,160,3,2,9,9999,2,0000,1,95,1,1,0,9,00,5,1,9
 ,1,76,6,05,1000,13,43,26,4,1359,020,1358,999,0,127,2,2,9,9999,2,0000,1,00,2,1,0,9,00,4,9,9
 ,1,76,6,05,0100,04,36,03,5,1255,999,1308,999,9,999,2,2,9,9999,2,0000,1,50,4,1,0,9,00,0,1,9
 ,1,76,6,05,0001,21,38,04,5,1249,003,1245,030,0,020,2,2,9,9999,1,0127,1,99,1,2,0,9,99,9,9,9
 ,3,76,6,05,0100,01,38,25,4,1425,005,1415,105,0,086,2,2,9,9999,2,0000,1,75,3,2,1,9,99,9,9,9
 ,1,76,6,05,1000,23,34,06,5,1145,010,1145,025,1,063,2,2,9,9999,1,0051,1,60,4,3,1,9,00,4,9,9
 ,1,76,6,05,1000,06,46,27,4,1500,030,1500,060,0,127,2,2,9,9999,2,0000,1,99,2,8,2,9,00,0,1,9
 ,1,76,6,05,0010,35,44,22,4,1515,015,1510,105,0,177,3,2,9,9999,1,0025,1,50,4,1,2,9,00,0,1,9
 ,1,76,6,05,0010,09,26,28,4,1330,999,1345,040,9,999,2,2,9,9999,2,0000,0,99,4,3,0,9,99,9,1,9
 ,1,76,6,05,1000,26,34,04,5,1230,005,1235,030,8,998,3,2,9,9999,2,0000,1,50,2,9,0,9,00,9,1,9
 ,1,76,6,05,1000,07,41,01,5,1315,008,1310,025,0,127,3,2,9,9999,2,0000,1,90,3,1,0,9,10,0,1,9
 ,1,76,6,05,0100,27,41,02,5,1435,010,1430,070,9,999,3,2,9,9999,2,0000,1,70,4,1,0,9,00,2,2,9
 ,1,76,6,05,0001,12,40,26,4,1310,010,1305,020,1,063,3,3,9,9999,1,0076,1,30,4,2,0,9,99,9,9,9
 ,1,76,6,05,1001,03,40,02,5,1340,006,1346,019,0,027,4,3,9,9999,2,0000,1,75,2,2,1,9,00,9,9,9
 ,1,76,6,05,0010,06,46,22,4,1215,005,1145,030,0,063,3,2,9,9999,3,0025,0,99,8,1,0,9,00,9,9,9
 ,1,76,6,05,0010,30,37,07,5,1155,010,1150,020,1,063,3,2,9,9999,2,0000,1,00,2,8,0,9,00,9,9,9
 ,1,76,6,05,0010,03,33,05,5,1150,006,1157,015,0,050,3,9,9,9999,2,0000,1,30,1,1,0,9,00,9,9,9
 ,1,76,6,05,0001,16,40,16,4,1357,005,1357,020,0,076,2,1,9,9999,2,0000,9,99,9,9,0,9,99,9,9,9
 ,1,76,6,05,1000,30,45,18,4,1455,005,1500,015,1,030,9,3,9,9999,1,0076,0,99,4,1,0,9,00,2,1,9
 ,1,76,6,05,0100,04,39,05,5,1310,010,1300,045,0,190,3,2,9,9999,3,0003,1,40,4,1,1,9,99,9,9,9
 ,3,76,6,05,0010,35,42,23,4,1445,004,1445,999,0,111,1,1,9,9999,9,9999,9,99,9,9,9,9,99,9,9,9
 ,1,76,6,09,1000,09,26,03,5,1230,005,1235,040,1,091,9,1,9,9999,2,0000,1,85,9,9,0,9,99,6,2,9
 ,2,76,6,09,1000,27,39,07,5,1613,007,1555,999,9,999,2,2,9,9999,2,0000,0,99,1,3,1,9,99,9,9,9
 ,3,76,6,09,1000,36,32,03,5,1655,004,1650,010,0,053,2,9,9,9999,9,9999,1,50,4,9,1,9,00,9,1,9
 ,3,76,6,09,0001,24,39,21,4,9999,999,2115,075,0,152,3,9,9,9999,9,9999,0,99,4,9,1,9,00,9,2,9
 ,3,76,6,09,0001,10,33,01,5,1235,005,1233,007,9,999,2,1,9,9999,2,0000,1,30,1,1,0,9,99,9,9,9
 ,3,76,6,09,0100,03,32,05,5,1605,006,1600,999,0,050,1,9,9,9999,2,0000,1,50,4,9,0,9,00,9,9,9
 ,3,76,6,09,0100,30,43,23,4,1534,999,1533,009,0,038,2,9,9,9999,9,9999,9,99,9,9,9,9,99,9,9,9
 ,3,76,6,09,1000,07,40,06,5,1625,015,1620,030,0,099,2,2,9,9999,2,0000,1,50,4,1,0,9,99,9,9,9
 ,3,76,6,12,0001,24,39,21,4,2115,015,2100,999,0,381,1,1,9,9999,9,9999,1,99,9,9,1,9,00,9,9,9
 ,3,76,6,12,0001,35,41,23,4,2015,005,2005,715,0,228,2,2,9,9999,1,0025,0,99,4,1,0,9,00,9,9,9
 ,3,76,6,12,0001,11,39,20,4,2030,015,2010,065,0,261,1,9,9,9999,1,0051,9,99,9,9,0,9,00,9,9,9
 ,3,76,6,12,0001,09,44,03,5,1916,002,1640,069,9,999,1,1,9,9999,1,0305,1,00,9,9,1,9,99,9,9,9
 ,3,76,6,12,0001,09,44,03,5,1707,003,1640,069,9,999,2,2,9,9999,1,0178,1,20,4,1,1,9,99,9,9,9
 ,1,76,6,12,0100,23,46,26,4,2015,005,8888,999,0,187,1,1,9,9999,2,0000,0,99,4,2,1,9,99,9,9,9
 ,4,76,6,12,0001,33,44,02,5,1900,060,1900,999,9,999,2,9,9,9999,9,9999,9,99,9,9,0,9,99,9,9,9
 ,3,76,6,12,0010,23,38,20,4,9999,999,2010,380,0,330,1,9,9,9999,9,9999,1,25,9,9,1,9,99,9,9,9
 ,3,76,6,12,0010,15,43,20,4,1940,005,1940,999,9,999,2,2,9,9999,9,9999,9,99,4,9,0,9,99,9,9,9
 ,4,76,6,12,1000,34,41,23,4,1930,010,1940,999,1,127,2,2,9,9999,2,0000,1,50,4,1,2,9,99,2,1,9
 ,1,76,6,12,9999,30,47,01,5,1900,999,9999,003,9,999,2,9,9,9999,9,9999,0,99,3,9,0,9,99,9,9,9
 ,1,76,6,19,0001,12,38,19,4,1800,999,1815,999,9,999,3,3,9,9999,9,9999,9,99,4,9,9,9,99,9,9,9
